  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     7.500 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
 -20.000  -0.7449   0.17390   0.17393  -0.0058   1.0000   0.0070   1.0000  89.9678
 -19.750  -0.7436   0.16967   0.16783  -0.0084   1.0000   0.0070   1.0000  89.9811
 -19.500  -0.7545   0.16252   0.15745  -0.0126   1.0000   0.0071   1.0000  89.9938
 -19.250  -0.7562   0.15772   0.15104  -0.0155   1.0000   0.0071   1.0000  90.0187
 -19.000  -0.7820   0.14778   0.13769  -0.0213   1.0000   0.0074   1.0000  90.1484
 -18.750  -0.8483   0.13030   0.11584  -0.0315   1.0000   0.0075   1.0000  90.2122
 -17.750  -1.4644   0.02067   0.01232  -0.1020   0.9995   0.0070   1.0633  89.9444
 -17.500  -1.4405   0.01994   0.01180  -0.1024   0.9989   0.0070   1.1392  89.9581
 -17.250  -1.4160   0.01925   0.01131  -0.1027   0.9981   0.0070   1.2322  89.9699
 -17.000  -1.3907   0.01860   0.01084  -0.1032   0.9973   0.0070   1.3360  89.9798
 -16.750  -1.3649   0.01798   0.01040  -0.1036   0.9965   0.0071   1.4398  89.9881
 -16.500  -1.3384   0.01740   0.00997  -0.1041   0.9957   0.0071   1.5389  89.9951
 -16.250  -1.3117   0.01680   0.00953  -0.1046   0.9947   0.0071   1.6593  90.0173
 -16.000  -1.2856   0.01607   0.00896  -0.1052   0.9935   0.0073   1.8112  90.1273
 -15.750  -1.2590   0.01541   0.00846  -0.1057   0.9919   0.0076   2.0051  90.2428
 -15.500  -1.2369   0.01487   0.00805  -0.1051   0.9887   0.0078   2.2968  90.3502
 -15.250  -1.2132   0.01436   0.00767  -0.1047   0.9851   0.0080   2.6298  90.4525
 -15.000  -1.1888   0.01389   0.00730  -0.1044   0.9810   0.0082   3.0029  90.5464
 -14.750  -1.1647   0.01346   0.00698  -0.1041   0.9780   0.0084   3.2340  90.6283
 -14.500  -1.1403   0.01306   0.00668  -0.1037   0.9738   0.0085   3.5685  90.7009
 -14.250  -1.1157   0.01270   0.00640  -0.1033   0.9686   0.0087   3.9765  90.7643
 -14.000  -1.0900   0.01234   0.00613  -0.1031   0.9657   0.0088   4.1900  90.8187
