  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 63-412 AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -16.500  -0.9681   0.07832   0.07592  -0.0461   1.0000   0.0061
 -16.250  -1.0143   0.06526   0.06263  -0.0546   1.0000   0.0060
 -16.000  -1.0409   0.05685   0.05404  -0.0604   1.0000   0.0059
 -15.750  -1.0622   0.05000   0.04703  -0.0650   1.0000   0.0060
 -15.500  -1.0788   0.04436   0.04123  -0.0686   1.0000   0.0061
 -15.250  -1.0869   0.04026   0.03700  -0.0709   1.0000   0.0061
 -15.000  -1.0925   0.03675   0.03336  -0.0726   1.0000   0.0062
 -14.750  -1.0945   0.03389   0.03039  -0.0736   1.0000   0.0062
 -14.500  -1.0920   0.03170   0.02811  -0.0741   1.0000   0.0063
 -14.250  -1.0919   0.02948   0.02578  -0.0741   1.0000   0.0064
 -14.000  -1.0864   0.02795   0.02416  -0.0737   1.0000   0.0066
 -13.750  -1.0846   0.02637   0.02249  -0.0727   1.0000   0.0066
 -13.500  -1.0834   0.02518   0.02122  -0.0707   1.0000   0.0067
 -13.250  -1.0741   0.02419   0.02015  -0.0694   1.0000   0.0069
 -13.000  -1.0625   0.02321   0.01909  -0.0682   1.0000   0.0070
 -12.750  -1.0492   0.02232   0.01811  -0.0670   1.0000   0.0072
 -12.500  -1.0339   0.02154   0.01726  -0.0659   1.0000   0.0074
 -12.250  -1.0185   0.02073   0.01637  -0.0647   1.0000   0.0075
 -12.000  -1.0004   0.02005   0.01561  -0.0639   0.9998   0.0078
 -11.500  -0.9441   0.01844   0.01381  -0.0662   0.9889   0.0082
 -11.250  -0.9140   0.01757   0.01287  -0.0678   0.9836   0.0085
 -11.000  -0.8823   0.01693   0.01219  -0.0694   0.9772   0.0089
 -10.750  -0.8496   0.01630   0.01150  -0.0712   0.9695   0.0092
 -10.500  -0.8160   0.01574   0.01086  -0.0731   0.9607   0.0096
 -10.250  -0.7840   0.01518   0.01022  -0.0746   0.9485   0.0100
  -9.750  -0.7302   0.01431   0.00914  -0.0752   0.9190   0.0106
  -9.500  -0.7061   0.01382   0.00856  -0.0749   0.9060   0.0110
  -9.250  -0.6815   0.01341   0.00809  -0.0746   0.8944   0.0115
  -9.000  -0.6564   0.01311   0.00772  -0.0744   0.8832   0.0120
  -8.500  -0.6057   0.01251   0.00696  -0.0739   0.8590   0.0130
  -8.250  -0.5800   0.01220   0.00657  -0.0737   0.8473   0.0135
  -8.000  -0.5541   0.01192   0.00619  -0.0736   0.8375   0.0138
  -7.750  -0.5282   0.01153   0.00574  -0.0735   0.8284   0.0143
  -7.500  -0.5018   0.01122   0.00539  -0.0735   0.8205   0.0151
  -7.250  -0.4750   0.01097   0.00510  -0.0734   0.8123   0.0158
  -7.000  -0.4480   0.01073   0.00481  -0.0734   0.8047   0.0165
  -6.750  -0.4209   0.01050   0.00451  -0.0735   0.7966   0.0171
  -6.500  -0.3936   0.01028   0.00423  -0.0735   0.7893   0.0176
  -6.250  -0.3664   0.01000   0.00390  -0.0735   0.7820   0.0186
  -6.000  -0.3389   0.00977   0.00365  -0.0736   0.7752   0.0199
  -5.750  -0.3112   0.00957   0.00341  -0.0737   0.7677   0.0209
  -5.500  -0.2835   0.00940   0.00319  -0.0738   0.7607   0.0219
  -5.250  -0.2555   0.00923   0.00298  -0.0739   0.7536   0.0227
  -5.000  -0.2278   0.00903   0.00275  -0.0740   0.7471   0.0251
  -4.750  -0.1996   0.00886   0.00257  -0.0741   0.7402   0.0272
  -4.500  -0.1715   0.00874   0.00239  -0.0742   0.7330   0.0288
  -4.250  -0.1433   0.00856   0.00222  -0.0744   0.7263   0.0324
  -4.000  -0.1151   0.00844   0.00207  -0.0746   0.7191   0.0360
  -3.750  -0.0868   0.00828   0.00192  -0.0747   0.7125   0.0429
  -3.500  -0.0585   0.00813   0.00178  -0.0749   0.7051   0.0536
  -3.000  -0.0019   0.00773   0.00151  -0.0754   0.6912   0.1021
  -2.750   0.0262   0.00746   0.00138  -0.0756   0.6844   0.1495
  -2.500   0.0545   0.00712   0.00124  -0.0760   0.6773   0.2160
  -2.250   0.0826   0.00673   0.00110  -0.0764   0.6703   0.3012
