  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     5.000 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
 -16.000  -1.2862   0.01814   0.01043  -0.1028   0.9958   0.0084   1.5227  90.6284
 -15.750  -1.2592   0.01748   0.00994  -0.1035   0.9950   0.0085   1.6188  90.6916
 -15.500  -1.2314   0.01689   0.00948  -0.1042   0.9943   0.0087   1.7047  90.7529
 -15.250  -1.2033   0.01634   0.00906  -0.1049   0.9935   0.0088   1.8059  90.8089
 -15.000  -1.1747   0.01582   0.00866  -0.1057   0.9925   0.0089   1.9290  90.8583
 -14.750  -1.1487   0.01534   0.00830  -0.1058   0.9905   0.0090   2.1299  90.8972
 -14.500  -1.1244   0.01490   0.00796  -0.1055   0.9873   0.0090   2.4222  90.9277
 -14.250  -1.0988   0.01447   0.00763  -0.1055   0.9842   0.0091   2.7059  90.9531
 -14.000  -1.0730   0.01407   0.00732  -0.1054   0.9808   0.0091   3.0138  90.9733
 -13.750  -1.0486   0.01370   0.00703  -0.1050   0.9774   0.0092   3.2863  90.9886
 -13.500  -1.0240   0.01333   0.00674  -0.1046   0.9731   0.0092   3.6253  91.0077
 -13.250  -1.0002   0.01277   0.00628  -0.1041   0.9682   0.0095   4.0107  91.1456
 -13.000  -0.9752   0.01230   0.00590  -0.1039   0.9647   0.0099   4.2616  91.2933
 -12.750  -0.9499   0.01189   0.00557  -0.1036   0.9599   0.0102   4.6009  91.4240
 -12.500  -0.9245   0.01155   0.00529  -0.1032   0.9544   0.0105   4.9979  91.5316
 -12.250  -0.8980   0.01121   0.00503  -0.1031   0.9508   0.0107   5.2404  91.6300
 -12.000  -0.8716   0.01091   0.00479  -0.1030   0.9456   0.0109   5.5848  91.7219
 -11.750  -0.8452   0.01064   0.00456  -0.1028   0.9394   0.0111   6.0042  91.8032
 -11.500  -0.8180   0.01038   0.00435  -0.1027   0.9351   0.0113   6.2783  91.8731
 -11.250  -0.7911   0.01014   0.00415  -0.1026   0.9282   0.0114   6.7237  91.9283
 -11.000  -0.7641   0.00992   0.00396  -0.1025   0.9207   0.0115   7.2079  91.9683
 -10.750  -0.7370   0.00972   0.00378  -0.1023   0.9109   0.0116   7.8329  91.9950
 -10.500  -0.7101   0.00942   0.00352  -0.1022   0.9024   0.0120   8.3672  92.1645
 -10.250  -0.6831   0.00915   0.00328  -0.1021   0.8934   0.0126   8.9322  92.3941
 -10.000  -0.6554   0.00890   0.00309  -0.1021   0.8882   0.0131   9.2602  92.5742
  -9.750  -0.6277   0.00870   0.00292  -0.1021   0.8814   0.0135   9.6845  92.7197
  -9.500  -0.5998   0.00851   0.00277  -0.1021   0.8748   0.0139  10.1013  92.8369
  -9.250  -0.5717   0.00834   0.00263  -0.1021   0.8684   0.0141  10.5014  92.9249
  -9.000  -0.5438   0.00820   0.00250  -0.1021   0.8602   0.0142  11.0123  92.9811
  -8.750  -0.5156   0.00800   0.00233  -0.1021   0.8536   0.0147  11.4263  93.1438
  -8.500  -0.4879   0.00780   0.00216  -0.1021   0.8442   0.0156  12.0113  93.4309
  -8.250  -0.4596   0.00763   0.00202  -0.1021   0.8366   0.0162  12.4814  93.6426
  -8.000  -0.4315   0.00749   0.00190  -0.1022   0.8274   0.0168  13.0511  93.8166
  -7.750  -0.4030   0.00736   0.00180  -0.1022   0.8198   0.0171  13.5282  93.9387
  -7.500  -0.3747   0.00726   0.00169  -0.1023   0.8105   0.0175  14.1039  94.0360
  -7.250  -0.3465   0.00709   0.00156  -0.1023   0.8009   0.0189  14.6977  94.4525
  -7.000  -0.3181   0.00696   0.00145  -0.1024   0.7913   0.0198  15.2954  94.7282
  -6.500  -0.2611   0.00678   0.00128  -0.1025   0.7710   0.0209  16.5540  95.0507
  -6.250  -0.2328   0.00665   0.00117  -0.1025   0.7604   0.0227  17.2104  95.5034
  -5.750  -0.1757   0.00650   0.00102  -0.1027   0.7376   0.0246  18.6196  95.9847
  -5.500  -0.1472   0.00640   0.00094  -0.1027   0.7265   0.0268  19.3030  96.5002
  -5.250  -0.1188   0.00633   0.00087  -0.1028   0.7140   0.0284  20.0741  96.8673
  -5.000  -0.0902   0.00628   0.00081  -0.1029   0.7017   0.0297  20.8389  97.1481
  -4.750  -0.0616   0.00620   0.00074  -0.1029   0.6899   0.0325  21.5625  97.6955
  -4.500  -0.0330   0.00615   0.00069  -0.1030   0.6778   0.0339  22.3104  97.9875
  -4.250  -0.0045   0.00609   0.00063  -0.1031   0.6647   0.0377  23.1210  98.6455
  -4.000   0.0240   0.00607   0.00059  -0.1032   0.6510   0.0397  23.9638  98.9931
  -3.750   0.0526   0.00601   0.00054  -0.1033   0.6391   0.0442  24.7001  99.6632
  -3.500   0.0813   0.00598   0.00051  -0.1034   0.6266   0.0469  25.4681 100.0691
  -3.250   0.1097   0.00593   0.00047  -0.1034   0.6137   0.0528  26.2674 100.8241
  -3.000   0.1383   0.00592   0.00044  -0.1035   0.6005   0.0576  27.0813 101.3856
  -2.750   0.1668   0.00589   0.00041  -0.1036   0.5875   0.0627  27.8786 101.9561
  -2.500   0.1954   0.00585   0.00038  -0.1037   0.5759   0.0707  28.5959 102.7450
  -2.250   0.2240   0.00584   0.00036  -0.1038   0.5643   0.0772  29.3097 103.3373
  -2.000   0.2525   0.00583   0.00034  -0.1039   0.5518   0.0848  30.0822 103.9929
  -1.750   0.2811   0.00581   0.00033  -0.1040   0.5407   0.0957  30.7678 104.8390
  -1.500   0.3097   0.00578   0.00031  -0.1041   0.5308   0.1070  31.3807 105.6698
  -1.250   0.3382   0.00578   0.00031  -0.1042   0.5195   0.1177  32.0748 106.4204
  -1.000   0.3669   0.00576   0.00030  -0.1043   0.5106   0.1307  32.6274 107.2905
  -0.750   0.3955   0.00575   0.00030  -0.1044   0.5014   0.1431  33.1960 108.1051
