  
       XFOIL         Version 6.96
  
 Calculated polar for: CLARK Y AIRFOIL                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.000  -0.3474   0.10140   0.09638  -0.0367   1.0000   0.1273
  -8.750  -0.3809   0.10037   0.09553  -0.0393   1.0000   0.1308
  -8.500  -0.4214   0.09979   0.09515  -0.0389   1.0000   0.1313
  -8.250  -0.3699   0.09349   0.08874  -0.0357   1.0000   0.1351
  -8.000  -0.3685   0.09146   0.08675  -0.0335   1.0000   0.1389
  -7.750  -0.3862   0.09004   0.08545  -0.0311   1.0000   0.1423
  -7.500  -0.4177   0.08922   0.08477  -0.0278   1.0000   0.1440
  -7.250  -0.4616   0.08774   0.08342  -0.0294   1.0000   0.1460
  -7.000  -0.4818   0.08423   0.07996  -0.0300   1.0000   0.1476
  -6.750  -0.4620   0.08250   0.07829  -0.0229   1.0000   0.1509
  -6.500  -0.4660   0.08065   0.07647  -0.0207   1.0000   0.1552
  -6.250  -0.4964   0.07643   0.07214  -0.0280   1.0000   0.1629
  -6.000  -0.4869   0.07438   0.07022  -0.0227   1.0000   0.1653
  -5.750  -0.4833   0.07245   0.06830  -0.0203   1.0000   0.1693
  -5.500  -0.4804   0.06812   0.06384  -0.0253   0.9986   0.1800
  -5.250  -0.4492   0.06395   0.05946  -0.0321   0.9922   0.1948
  -5.000  -0.4217   0.06129   0.05687  -0.0322   0.9869   0.2008
  -4.750  -0.3727   0.04267   0.03658  -0.0508   0.9819   0.1207
  -4.500  -0.3344   0.03587   0.02837  -0.0541   0.9768   0.1009
  -4.250  -0.2952   0.03304   0.02513  -0.0572   0.9721   0.0999
  -4.000  -0.2584   0.03133   0.02290  -0.0593   0.9662   0.1012
  -3.750  -0.2209   0.02948   0.02067  -0.0615   0.9603   0.1027
  -3.500  -0.1775   0.02785   0.01885  -0.0648   0.9562   0.1046
  -3.250  -0.1467   0.02687   0.01776  -0.0656   0.9484   0.1073
  -3.000  -0.1049   0.02601   0.01674  -0.0683   0.9429   0.1129
  -2.750  -0.0711   0.02520   0.01588  -0.0696   0.9359   0.1198
  -2.500  -0.0332   0.02449   0.01516  -0.0716   0.9294   0.1296
  -2.250   0.0075   0.02360   0.01442  -0.0740   0.9242   0.1486
  -2.000   0.0372   0.02287   0.01400  -0.0746   0.9157   0.1943
  -1.750   0.0798   0.02169   0.01361  -0.0777   0.9111   0.3339
  -1.500   0.1048   0.02083   0.01363  -0.0774   0.9016   0.5186
  -1.250   0.1696   0.01958   0.01355  -0.0816   0.8979   1.0000
  -1.000   0.2100   0.01947   0.01315  -0.0838   0.8869   1.0000
  -0.750   0.2685   0.01902   0.01241  -0.0888   0.8803   1.0000
  -0.500   0.2971   0.01899   0.01222  -0.0887   0.8684   1.0000
  -0.250   0.3365   0.01882   0.01188  -0.0905   0.8612   1.0000
   0.000   0.3674   0.01875   0.01169  -0.0908   0.8514   1.0000
   0.250   0.3960   0.01875   0.01157  -0.0906   0.8414   1.0000
   0.500   0.4341   0.01846   0.01117  -0.0918   0.8343   1.0000
